BEL;OLH;2.05;3.2;3.8;1.95;3.2;3.9;2;3.2;3.3;2.05;3;3.5;2.07;3.39;3.96;2;3.1;3.75;2;3.13;3.8;2.05;3.3;3.9
SPO;SET;1.33;4.75;9.5;1.28;5;10;1.3;4.4;8.5;1.3;4.8;9;1.32;5.39;11.37;1.33;4.5;8.5;1.33;4.5;9.5;1.33;5.25;10
ARO;POR;15;5.5;1.22;13;5.5;1.22;10;5;1.22;12;5.25;1.22;15.77;6.19;1.24;11;5;1.25;13;5.25;1.22;15;6;1.22
EST;BEN;5.5;3.5;1.67;4.75;3.7;1.67;4.8;3.6;1.6;4.8;3.5;1.66;5.14;3.99;1.71;4.6;3.75;1.65;5;3.6;1.67;5.25;3.9;1.67
GIL;PAC;3;3.4;2.3;3;3.1;2.35;2.8;3.1;2.3;3;3;2.3;3.25;3.33;2.37;3.1;3.1;2.25;3;3.2;2.3;3.2;3.3;2.38
NAC;BRA;3.75;3.3;2;3.8;3.2;2;3.3;3.2;2;3.5;3.2;2;3.91;3.48;2.05;3.5;3.3;2;3.75;3.25;2;3.9;3.4;2
GUI;MAR;2.2;3.4;3.2;2.15;3;3.5;2.1;3.1;3.2;2.1;3.1;3.3;2.26;3.28;3.53;2.25;3.1;3.1;2.2;3.25;3.2;2.25;3.3;3.4
BRA;ACA;1.4;4.33;8.5;1.42;4.1;7.75;1.42;4;6.5;1.36;4.2;8;1.42;4.72;9.3;1.4;4.2;7.5;1.4;4.33;7.5;1.4;4.5;9
OLH;ARO;2.6;3.1;2.8;2.55;2.9;2.9;2.4;3.1;2.7;2.55;2.9;2.7;2.68;3.14;2.95;2.45;2.9;3;2.5;3.13;2.8;2.7;3.12;2.88
RIO;GIL;1.83;3.4;4.5;1.75;3.2;4.4;1.7;3.4;4.3;1.75;3.3;4.33;1.85;3.51;4.85;1.75;3.3;4.6;1.83;3.25;4.5;1.83;3.5;4.8
SET;BEL;2.5;3.2;2.8;2.4;3.1;2.9;2.2;3.1;3;2.45;3.1;2.7;2.65;3.34;2.84;2.45;3.2;2.7;2.5;3.13;2.75;2.6;3.3;2.88
BEN;NAC;1.29;5;12;1.25;5.5;10;1.25;4.8;9.5;1.28;5;9.5;1.32;5.57;10.5;1.25;5.5;9.5;1.29;5;9;1.3;5.5;11
MAR;EST;2.75;3.2;2.6;2.75;3.1;2.55;2.55;3;2.45;2.75;3;2.45;2.76;3.34;2.71;2.7;3.2;2.45;2.63;3.2;2.6;2.75;3.3;2.62
POR;SPO;1.57;3.75;6;1.62;4;4.75;1.55;3.7;5;1.6;3.75;5;1.62;4.13;5.91;1.62;3.8;4.8;1.57;3.8;5.5;1.6;4.1;5.75
PAC;GUI;2.25;3.2;3.3;2.2;3.2;3.2;2;3.2;3.3;2.15;3;3.3;2.38;3.25;3.31;2.25;3.1;3.1;2.25;3.13;3.2;2.25;3.2;3.12
ACA;BEN;8;4.5;1.4;8;4.5;1.36;7.5;4.1;1.37;8;4;1.4;8.8;4.55;1.45;7.5;4.2;1.4;7.5;4.33;1.4;9;4.5;1.4
BEL;POR;11;4.5;1.33;8;5;1.33;8;4.2;1.33;10;4.75;1.3;11.69;5.14;1.33;10;4.75;1.29;8.5;4.8;1.33;11;5;1.33
SPO;MAR;1.36;4.5;9.5;1.4;4.5;7;1.35;4.2;7.5;1.4;4.2;7.5;1.38;4.93;9.89;1.44;4;7;1.36;4.5;7.5;1.4;4.8;9
ARO;PAC;2.8;3.2;2.5;2.7;3.2;2.5;2.6;3.1;2.5;2.75;3;2.45;3.04;3.21;2.57;2.8;3;2.5;2.88;3;2.5;3;3.2;2.55
EST;SET;1.62;3.75;5.5;1.57;4;5.25;1.6;3.6;4.8;1.6;3.75;5;1.62;4.12;5.91;1.6;3.75;5;1.62;3.75;5;1.6;4.1;5.75
GIL;GUI;2.8;3.1;2.6;2.7;3.1;2.6;2.6;3.1;2.5;2.75;3;2.5;2.89;3.26;2.65;2.6;3;2.7;2.8;3.13;2.5;2.88;3.25;2.6
NAC;OLH;1.62;3.6;6;1.65;3.6;5;1.65;3.5;4.5;1.57;3.6;5.5;1.58;4.04;6.71;1.65;3.5;5;1.62;3.5;5.8;1.6;4;6
BRA;RIO;1.6;3.6;6;1.7;3.4;5;1.65;3.5;4.5;1.65;3.4;5.25;1.66;3.81;6.09;1.73;3.3;4.8;1.67;3.4;5.5;1.67;3.75;5.75
BEN;BRA;1.57;3.8;6;1.5;4.2;5.75;1.5;3.8;5.5;1.57;3.8;5.2;1.6;4.11;6.24;1.5;4.2;5.5;1.57;3.8;5.5;1.57;4.1;5.75
POR;NAC;1.25;6;10;1.22;6;11;1.2;5.2;11;1.22;5.5;12;1.23;6.74;14.45;1.22;6;9.5;1.25;5.5;10;1.22;6.5;15
GUI;SPO;4.2;3.6;1.83;4.4;3.6;1.75;4;3.2;1.8;4.33;3.3;1.75;4.99;3.47;1.85;4;3.3;1.85;4.33;3.4;1.8;4.6;3.6;1.83
MAR;GIL;2.15;3.25;3.4;2.2;3.1;3.25;2.3;3.1;2.8;2.1;2.9;3.5;2.21;3.23;3.74;2.25;3.2;3;2.1;3.2;3.4;2.15;3.25;3.7
PAC;BEL;2.05;3.3;3.6;2.05;3.3;3.4;2.2;3.1;3;2.05;3.1;3.4;2.14;3.39;3.74;2;3.2;3.6;2.05;3.25;3.5;2.15;3.3;3.7
RIO;EST;2.6;3.25;2.7;2.6;3.1;2.7;2.5;3.1;2.6;2.5;3.1;2.65;2.75;3.11;2.9;2.6;3.1;2.6;2.6;3.13;2.63;2.7;3.25;2.75
SET;ARO;2.38;3.2;3;2.3;3.25;2.95;2.1;3.1;3.2;2.25;3;3;2.41;3.29;3.22;2.38;3.1;2.88;2.38;3.13;3;2.4;3.25;3.2
OLH;ACA;2.9;3.1;2.5;2.6;3.2;2.6;2.6;3;2.6;2.9;2.9;2.45;3.14;3.13;2.55;2.9;2.9;2.5;2.8;3;2.5;3;3.12;2.6
BRA;OLH;1.25;5;15;1.28;5;10;1.33;4.2;8;1.28;4.6;11;1.3;5.37;13.15;1.25;5;11;1.3;4.8;9.5;1.29;5.4;15
ACA;POR;11;4.5;1.33;8.5;4.6;1.34;7.5;4.2;1.35;9;4.33;1.35;9.54;4.73;1.4;9;4.4;1.33;8;4.5;1.36;10;4.75;1.36
ARO;MAR;2.88;3.2;2.5;2.7;3.1;2.6;2.6;3.1;2.5;2.85;3;2.4;3.07;3.12;2.61;2.7;3;2.6;2.8;3.13;2.5;2.9;3.2;2.62
BEL;GIL;1.95;3.2;4.2;2;3.25;3.7;2;3.2;3.3;2;3;3.8;2.08;3.3;4.1;2.05;3.1;3.6;2;3.2;3.75;2;3.3;4.2
NAC;SET;1.75;3.5;4.75;1.8;3.5;4.2;1.8;3.2;4;1.75;3.25;4.6;1.85;3.64;4.68;1.73;3.5;4.4;1.73;3.5;4.5;1.8;3.6;4.8
RIO;BEN;6;4;1.53;5.5;3.9;1.55;5.5;3.8;1.5;6;3.6;1.53;7.05;3.97;1.57;6;3.6;1.55;5.75;3.8;1.53;6.5;4;1.57
SPO;PAC;1.4;4.5;8;1.4;4.4;7.25;1.35;4.2;7.5;1.44;4.1;6.5;1.45;4.63;8.04;1.35;4.6;7.5;1.4;4.5;6.5;1.44;4.6;7.5
EST;GUI;1.91;3.4;4;1.9;3.25;4.1;1.9;3.2;3.6;1.9;3.1;3.9;2.01;3.26;4.42;1.85;3.2;4.2;1.91;3.3;3.8;1.95;3.4;4.3
BEN;ARO;1.17;6.5;19;1.16;7;12;1.2;5.2;11;1.16;6;17;1.17;7.93;21.48;1.17;6;15;1.17;7;13;1.17;7.5;20
GUI;BEL;2;3.4;3.75;1.9;3.3;4;1.9;3.2;3.6;1.95;3;4;1.98;3.24;4.62;1.95;3.2;3.8;2;3.3;3.75;2;3.4;4.1
PAC;EST;3;3.25;2.38;2.95;3.2;2.35;2.8;3.1;2.3;2.9;2.9;2.4;3.08;3.18;2.59;2.8;3.2;2.38;2.88;3.25;2.38;3;3.25;2.5
POR;BRA;1.57;3.75;6;1.6;3.9;5;1.6;3.6;4.8;1.61;3.5;5.25;1.61;4.06;6.12;1.6;3.75;5;1.62;3.75;5.25;1.65;3.9;5.75
GIL;SPO;5.5;3.8;1.62;5.25;3.75;1.6;4.8;3.6;1.6;5.5;3.5;1.57;6.3;3.82;1.64;5;3.75;1.6;5.75;3.6;1.62;6.25;3.8;1.62
MAR;NAC;2.55;3.4;2.63;2.4;3.3;2.75;2.5;3;2.7;2.45;3.1;2.7;2.73;3.24;2.82;2.38;3.2;2.8;2.5;3.25;2.63;2.62;3.4;2.75
