SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
0, 3.2, 3.1, 3.1, 3, 3.2, 3.44, 3.2, 3.2
1, 3.3, 3.5, 3.5, 3.2, 3.4, 3.54, 3.3, 3.4
0, 3.25, 3.1, 3.1, 3.1, 3.2, 3.4, 3.2, 3.2
0, 3.2, 3, 3, 3, 3.1, 3.3, 3, 3.2
0, 3.8, 3.7, 3.7, 3.3, 3.4, 4.04, 3.75, 3.6
0, 5.25, 5.75, 5.75, 5, 5, 6.43, 5, 5.5
1, 3.4, 3.25, 3.25, 3, 3.25, 3.38, 3.1, 3.3
0, 4.2, 3.9, 3.9, 3.4, 3.75, 4.3, 3.8, 3.75
0, 6, 7, 7, 5.7, 6.5, 7.47, 6, 6.5
1, 3.4, 3, 3, 3, 3.2, 3.33, 3.1, 3.25
1, 3.5, 3.2, 3.2, 3.1, 3.4, 3.52, 3.4, 3.2
1, 4, 3.5, 3.5, 3.5, 3.5, 3.92, 3.6, 3.6
0, 3.3, 3, 3, 3, 3.2, 3.25, 3.1, 3.25
0, 3.8, 3.7, 3.7, 3.5, 3.5, 3.99, 3.75, 3.75
0, 3.1, 3, 3, 3.1, 3.2, 3.25, 3, 3.13
0, 4.1, 4, 4, 3.7, 3.75, 4.26, 4, 4
1, 3.25, 3, 3, 3.1, 3.25, 3.29, 3.1, 3.13
0, 3.3, 3.2, 3.2, 3.1, 3.3, 3.44, 3.2, 3.3
0, 4.75, 4.6, 4.6, 4.2, 4.5, 5.18, 4.2, 4.33
1, 4.33, 4.1, 4.1, 3.7, 4.33, 4.65, 4, 4
0, 3.4, 3.25, 3.25, 3.2, 3.2, 3.53, 3.25, 3.3
0, 3.5, 3.4, 3.4, 3.3, 3.5, 3.76, 3.4, 3.5
0, 4.75, 4.4, 4.4, 4.4, 4.5, 5.14, 4.5, 4.5
0, 3.2, 3.1, 3.1, 3, 3.2, 3.37, 3.1, 3.13
0, 6.5, 6, 6, 5.4, 6, 6.9, 6.5, 6
1, 3.1, 3.1, 3.1, 3, 3.1, 3.22, 3, 3.13
0, 3.2, 2.95, 2.95, 3, 3.2, 3.23, 3.1, 3.2
0, 3.5, 3.4, 3.4, 3.2, 3.5, 3.73, 3.2, 3.4
0, 3.6, 3.3, 3.3, 3.3, 3.5, 3.65, 3.4, 3.4
1, 3, 3.1, 3.1, 3, 3.1, 3.17, 3.1, 3.13
0, 3.8, 3.6, 3.6, 3.5, 3.75, 4.04, 3.6, 3.8
0, 3.1, 3.1, 3.1, 3, 3.1, 3.48, 3.1, 3.13
0, 3.25, 3.1, 3.1, 3, 3.2, 3.28, 3.1, 3.13
0, 3.1, 3.25, 3.25, 3.1, 3.1, 3.33, 3.2, 3.25
0, 5.25, 5.5, 5.5, 4.8, 5, 5.6, 4.8, 5
0, 3.3, 3.3, 3.3, 3.1, 3.4, 3.57, 3.3, 3.4
0, 4.33, 4.5, 4.5, 3.7, 4.2, 4.58, 4, 4.33
0, 4.5, 4.2, 4.2, 3.7, 4, 4.6, 4, 4
0, 5.75, 5.5, 5.5, 4.9, 5.5, 5.75, 4.8, 5.25
0, 3.4, 3.1, 3.1, 3.1, 3.2, 3.46, 3.25, 3.13
0, 3.2, 3.1, 3.1, 3.1, 3.1, 3.33, 3.1, 3.13
0, 4.75, 4.25, 4.25, 3.7, 4.33, 4.74, 4.33, 4.33
0, 3.3, 3.2, 3.2, 3.1, 3.25, 3.5, 3.3, 3.2
0, 3.2, 2.95, 2.95, 3, 3.2, 3.25, 3.4, 3.13
0, 3.1, 2.95, 2.95, 3.1, 3.1, 3.27, 3.2, 3.13
0, 3.25, 3.4, 3.4, 3, 3.3, 3.61, 3.3, 3.25
0, 9, 8.5, 8.5, 6.5, 8, , 7, 8
0, 3.3, 3, 3, 3.1, 3.25, 3.46, 3.2, 3.2
0, 3.25, 3, 3, 2.9, 3.25, 3.33, 3.3, 3.2
1, 3.3, 3.2, 3.2, 3.1, 3.2, 3.43, 3.3, 3.25
0, 3.5, 3.3, 3.3, 3.2, 3.3, 3.44, 3.3, 3.3
0, 3.6, 3.4, 3.4, 3.1, 3.5, 3.83, 3.4, 3.4
0, 4.33, 4.1, 4.1, 3.7, 4.33, 4.67, 4.2, 4.33
0, 3.6, 3.5, 3.5, 3.2, 3.4, 3.79, 3.3, 3.4
0, 5, 4.6, 4.6, 4.6, 5, 5.35, 4.33, 4.5
0, 3.3, 3.2, 3.2, 3.1, 2.9, 3.28, 3.25, 3.3
0, 3.25, 3.25, 3.25, 3.1, 3.25, 3.3, 3.25, 3.2
0, 3.25, 3.25, 3.25, 3.1, 3.1, 3.27, 3.1, 3.25
0, 3.2, 3.1, 3.1, 3, 3.2, 3.21, 3.2, 3.2
0, 3.2, 3, 3, , 3.1, 3.15, 3.1, 3.13
1, 5.5, 6.75, 6.75, 5.7, 7, , 6.5, 6.25
1, 3, 3.1, 3.1, 3.1, 2.9, 3.26, 3.1, 3
0, 3.5, 3.3, 3.3, 3.2, 3.4, 3.66, 3.3, 3.3
0, 3.3, 3.2, 3.2, 2.8, 3.3, 3.49, 3.25, 3.2
0, 3.3, 3.2, 3.2, 3.1, 3.25, 3.38, 3.1, 3.2
0, 3.6, 3.6, 3.6, 3.3, 3.2, 3.7, 3.25, 3.4
0, 3.3, 2.9, 2.9, 3.1, 3, 3.33, 3.1, 3.13
0, 4, 3.8, 3.8, 3.7, 3.75, 4.57, 4, 3.75
0, 4, 3.8, 3.8, 3.7, 3.75, 4.02, 3.8, 3.75
0, 3.2, 3.2, 3.2, 3.2, 3.2, 3.43, 3.2, 3.2
0, 7, 7, 7, 5.8, 7, 8.06, 7, 7.5
0, 3.1, 3.25, 3.25, 2.8, 3.1, 3.31, 3.25, 3.13
0, 3.5, 3.3, 3.3, 3.2, 3.4, 3.55, 3.4, 3.4
0, 3.4, 3.3, 3.3, 3.1, 3.4, 3.55, 3.4, 3.4
1, 3.4, 3.4, 3.4, , 3.4, 3.67, 3.4, 3.3
0, 5.5, 5.5, 5.5, 4.8, 5.5, 6.12, 4.8, 5.5
0, 3.4, 3.2, 3.2, 2.8, 3.2, 3.52, 3.3, 3.2
1, 4.2, 4.4, 4, 3.6, 4, 3.8, 3.8, 4
1, 3.1, 3, 3.1, 2.9, 3.1, 3.1, 2.9, 3
1, 4.33, 4.2, 4.25, 3.7, 4.33, 4.2, 4, 4.2
1, 3.1, 2.95, 3, 3, 3, 3, 3, 3
0, 4, 4, 3.6, 3.7, 3.4, 3.6, 4, 3.9
1, 3.2, 3, 3.25, 3.1, 3.25, 3.25, 3.1, 3.2
0, 3.1, 2.95, 3, 3, 3.2, 3, 3.2, 3.2
0, 3.2, 3, 3, 3, 3, 3, 3, 3
0, 7, 7, 6, 5.7, 6, 6, 6, 6.5
0, 6.5, 6.75, 5.75, 5, 5.5, 5.5, 5.5, 6.5
0, 3.1, 2.95, 3, 2.9, 3, 2.9, 2.8, 3.1
1, 3.25, 3.5, 3.3, 3.1, 3.5, 3.15, 3.2, 3.3
0, 3.2, 3, 3.1, 2.9, 3.2, 2.95, 2.9, 3.1
0, 3.6, 3.4, 3.5, 3.4, 3.25, 3.5, 3.4, 3.25
1, 3.2, 3, 3.1, 2.9, 3, 3.05, 2.9, 3.1
0, 3, 2.85, 3, 3, 3.1, 3, 2.9, 3
1, 3, 2.95, 3, 3, 3.1, 2.95, 2.8, 3.1
0, 3.2, 2.95, 3.3, 3.3, 3.3, 3.25, 3.1, 3.2
0, 3.1, 3, 3.1, 3, 3, 3.1, 2.9, 3.1
0, 4, 4, 3.9, 3.7, 3.75, 3.75, 4, 4
0, 3.8, 3.8, 3.5, 3.4, 3.5, 3.6, 3.75, 3.75
0, 3.2, 3.1, 3.1, 3, 3.1, 3.1, 3.1, 3.1
0, 3.2, 3, 3.1, 3, 3.2, 3, 3.1, 3.2
0, 5, 5, 4.75, 4.2, 4.5, 4.5, 4.5, 4.75
0, 7, 6.75, 6, 6, 6, 6.5, 6.5, 5.75
0, 5, 5, 4.75, 4.6, 5, 5, 4.5, 4.75
0, 3.25, 3.3, 3.25, 3.1, 3.2, 3.25, 3.25, 3.25
0, 3.2, 3.1, 3.1, 3, 3.2, 3.15, 3.1, 3.1
0, 3.1, 3.2, 3.1, 3, 3.25, 3.1, 3.1, 3
0, 3.25, 3.1, 3.2, 3.1, 3.2, 3.2, 3.1, 3.2
0, 4.33, 4, 4, 3.7, 4, 4.2, 4.2, 4
0, 3.1, 2.95, 3, 2.9, 3.1, 3.1, 3.1, 3.1
