SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 2.2, 2.2, 2.2, 2.4, 2.2, 2.26, 2.3, 2.2
-1, 3.1, 3.1, 3.1, 2.8, 2.9, 3.18, 2.7, 3
1, 2.15, 2.1, 2.1, 2.2, 2.25, 2.22, 2.25, 2.1
1, 15, 26, 26, 17, 13, 1.5, 15, 19
1, 3.5, 3.9, 3.9, 3.2, 3.5, 3.75, 3.3, 3.5
1, 3.1, 3, 3, 3, 3.1, 3.25, 3, 3
0, 2.2, 2.2, 2.2, 2.5, 2.1, 2.22, 2.25, 2.2
1, 4, 4.1, 4.1, 3.3, 3.75, 3.82, 3.5, 3.6
1, 4.75, 4.6, 4.6, 4.2, 4.5, 5.05, 4.5, 4.8
-1, 1.4, 1.42, 1.42, 1.4, 1.4, 1.45, 1.44, 1.4
-1, 1.73, 1.7, 1.7, 1.75, 1.72, 1.81, 1.75, 1.73
-1, 1.3, 1.3, 1.3, 1.3, 1.25, 1.33, 1.36, 1.33
1, 2.88, 3.1, 3.1, 3.4, 2.9, 3.07, 2.8, 2.8
1, 3.5, 3.4, 3.4, 3.8, 3.4, 3.61, 3.75, 3.4
1, 2.9, 2.7, 2.7, 2.8, 2.62, 2.97, 2.7, 2.75
1, 2.88, 3, 3, 2.9, 2.7, 2.95, 2.88, 2.8
-1, 3, 2.85, 2.85, 1.5, 2.62, 3.02, 3, 2.8
0, 13, 16, 16, 14, 11, 1.5, 13, 11
0, 2.4, 2.3, 2.3, 2.3, 2.25, 2.41, 2.4, 2.38
1, 4.5, 5, 5, 4.7, 4, 5.03, 4.5, 4.8
1, 3.5, 3.6, 3.6, 3.3, 3.5, 3.63, 3.75, 3.5
1, 3.5, 3.4, 3.4, 3, 3.4, 3.85, 3.4, 3.6
1, 3.5, 3.7, 3.7, 4, 3.5, 3.75, 3.75, 3.75
1, 3.4, 3.7, 3.7, 3.4, 3.4, 3.78, 3.25, 3.5
-1, 7, 7, 7, 7.5, 6, 7.19, 6.5, 7.5
1, 7, 6.5, 6.5, 6, 7, 6.9, 5.5, 6.25
-1, 2.5, 2.3, 2.3, 2.5, 2.4, 2.43, 2.45, 2.4
1, 15, 15, 15, 8, 15, 16, 11, 11
-1, 2.9, 2.9, 2.9, 3.1, 2.87, 2.93, 2.88, 2.8
-1, 3.75, 3.8, 3.8, 3.3, 4, 3.87, 4, 3.6
1, 3.75, 3.8, 3.8, 3.8, 3.6, 3.87, 3.4, 3.75
0, 4.33, 4.1, 4.1, 1.5, 4.33, 4.58, 4, 4.5
-1, 1.3, 1.26, 1.26, 1.22, 1.25, 1.26, 1.29, 1.27
-1, 2.1, 2.2, 2.2, 2.2, 2.2, 2.15, 2.15, 2.1
0, 1.4, 1.35, 1.4, 1.45, 1.44, 1.4, 1.4, 1.4
0, 2.3, 2.35, 2.3, 2.4, 2.38, 2.3, 2.2, 2.3
0, 8.5, 7.5, 8, 7.5, 8, 7.5, 8.5, 9.5
0, 2.6, 2.35, 2.45, 2.6, 2.38, 2.35, 2.4, 2.63
-1, 1.5, 1.45, 1.53, 1.4, 1.53, 1.5, 1.44, 1.5
0, 4.33, 4.5, 4.5, 4.5, 4.5, 4.5, 4.4, 4.5
1, 2.9, 2.75, 2.7, 2.8, 2.8, 2.6, 2.62, 2.7
-1, 2.8, 2.8, 2.9, 2.9, 3, 2.85, 2.9, 3
1, 16, 13.5, 15, 14, 13, 15, 13, 15
1, 13, 12, 12, 12, 11, 12, 11, 15
1, 3.1, 3.5, 3.2, 3, 3, 3.1, 3.1, 3.1
0, 1.83, 1.72, 1.77, 1.8, 1.62, 1.8, 1.8, 1.8
1, 4, 3.9, 3.6, 3.2, 3.2, 3.6, 3.6, 3.8
1, 6, 5.5, 5.5, 5.2, 4.5, 5.75, 5.5, 6.5
0, 3.4, 3.4, 3.25, 3.1, 3, 3.25, 3.3, 3.2
1, 3, 2.95, 2.8, 2.8, 2.62, 2.8, 3, 2.88
0, 2.75, 2.7, 2.7, 2.7, 2.38, 2.6, 2.7, 2.63
-1, 4.33, 4.75, 4, 4.5, 4.5, 4.2, 4, 4.33
-1, 3.75, 3.4, 3.4, 3.3, 3.4, 3.3, 3.6, 3.75
-1, 8, 7.5, 7, 7.5, 7, 7, 7, 7
-1, 1.53, 1.55, 1.6, 1.55, 1.62, 1.57, 1.6, 1.53
-1, 2.1, 2.1, 2.1, 2.2, 2.2, 2.1, 2.05, 2.2
-1, 3.4, 3.5, 3.3, 3.3, 3.4, 3.2, 3.5, 3.25
-1, 1.29, 1.28, 1.3, 1.33, 1.3, 1.29, 1.25, 1.3
1, 21, 18.5, 15, 16, 17, 15, 19, 17
1, 9, 10, 9, 10.5, 9.5, 10, 11, 10
-1, 1.83, 1.7, 1.83, 1.85, 1.83, 1.8, 1.85, 1.83
-1, 3.4, 3.2, 3.2, 3.3, 3.4, 3.15, 3.2, 3.25
1, 3.8, 3.9, 3.6, 3.6, 3.6, 3.6, 3.6, 4
-1, 4.33, 4.25, 4, 3.9, 4, 3.75, 4, 4.5
1, 7, 7, 7, 7.5, 7, 7, 7, 8
1, 2.9, 3.1, 2.9, 3, 2.9, 2.75, 2.88, 2.75
0, 3.5, 3.6, 3.25, 3.1, 3.2, 3.1, 3.3, 3.2
1, 3.4, 3.9, 3.4, 3.55, 3.4, 3.25, 3.3, 3.25
1, 16, 11, 13, 12, 13, 13, 13, 17
0, 1.2, 1.2, 1.22, 1.2, 1.2, 1.2, 1.2, 1.22
-1, 2.6, 2.55, 2.5, 2.6, 2.5, 2.5, 2.5, 2.5
1, 3.1, 2.9, 2.8, 2.8, 2.88, 2.85, 3.1, 2.9
0, 2.4, 2.35, 2.6, 2.4, 2.2, 2.4, 2.3, 2.63
-1, 1.85, 1.78, 1.9, 1.8, 1.8, 1.8, 1.95, 1.87
0, 4, 4.1, 4, 4.2, 4.33, 4, 4, 4
1, 6.5, 6.75, 6, 7, 6, 5.75, 6, 7
1, 11, 9, 9, 8, 8, 9, 8, 9
0, 2.9, 2.85, 2.9, 2.8, 3, 2.9, 2.9, 3
1, 3.2, 3.3, 3.1, 2.9, 3, 2.85, 3, 3
1, 3.2, 3.2, 3.1, 3.1, 3.2, 3.05, 3.1, 3.25
-1, 3.1, 3, 2.9, 3.1, 3, 2.9, 2.9, 3.1
1, 3.75, 3.9, 3.6, 4, 3.75, 3.6, 3.6, 3.75
1, 3, 3.1, 2.85, 2.9, 3, 2.9, 2.75, 3
1, 15, 15, 16, 14, 11, 17, 15, 15
-1, 1.4, 1.4, 1.36, 1.33, 1.36, 1.36, 1.36, 1.36
0, 2.5, 2.5, 2.5, 2.5, 2.25, 2.5, 2.38, 2.38
-1, 1.91, 1.83, 1.9, 1.8, 1.8, 1.85, 1.83, 1.87
1, 1.73, 1.75, 1.72, 1.75, 1.73, 1.7, 1.67, 1.73
1, 3.8, 3.9, 3.75, 3.6, 3.2, 3.7, 3.75, 3.75
0, 3.6, 3.6, 3.5, 3.4, 3.2, 3.6, 3.6, 3.75
1, 3, 3.2, 3, 2.8, 2.9, 2.9, 2.88, 3.1
-1, 1.36, 1.37, 1.35, 1.35, 1.36, 1.33, 1.33, 1.33
1, 2.45, 2.5, 2.5, 2.5, 2.5, 2.55, 2.5, 2.5
1, 5.5, 5.25, 5, 4.9, 4.5, 5, 5, 5.25
1, 19, 20, 15, 14, 15, 19, 15, 21
1, 4, 3.9, 3.75, 3.6, 3.4, 3.75, 3.8, 3.6
1, 9.5, 8.75, 8, 8, 8, 9, 8, 10
1, 10, 9, 8.5, 8, 8, 9.5, 8, 10
1, 21, 16.5, 16, 13, 17, 17, 17, 17
0, 2.05, 2, 2.05, 2.1, 1.91, 1.95, 1.95, 2.05
1, 16, 14, 14, 12, 13, 15, 15, 17
-1, 1.5, 1.45, 1.53, 1.45, 1.57, 1.53, 1.44, 1.53
1, 4, 3.9, 4, 3.8, 3.75, 3.75, 3.8, 3.8
1, 3.4, 3.2, 3.3, 2.9, 3.2, 3.3, 3.3, 3.25
1, 3.6, 3.6, 3.5, 3.4, 3.4, 3.4, 3.75, 3.75
0, 2.4, 2.5, 2.5, 2.6, 2.38, 2.6, 2.38, 2.5
-1, 2.5, 2.4, 2.5, 2.7, 2.38, 2.55, 2.5, 2.5
1, 4.75, 4.5, 4.25, 4.2, 3.75, 4.33, 4, 4.5
0, 1.33, 1.3, 1.28, 1.3, 1.22, 1.29, 1.3, 1.25
1, 3.6, 3.5, 3.4, 3.4, 3.2, 3.5, 3.4, 3.4
1, 3, 3, 2.9, 3, 2.7, 3, 2.88, 3
0, 2.9, 3, 3, 3.2, 3, 3, 3, 3.1
0, 2, 2.1, 2.1, 2.1, 2, 2.1, 2.1, 2.1
1, 12, 14, 11, 10.5, 9, 12, 12, 13
-1, 3.6, 3.4, 3.4, 3.1, 3.2, 3.5, 3.5, 3.6
1, 4.33, 4.25, 4.25, 4, 3.75, 4.5, 4.2, 4.75
0, 2.5, 2.45, 2.5, 2.4, 2.38, 2.55, 2.6, 2.5
1, 2.75, 2.7, 2.7, 2.65, 2.62, 2.75, 2.62, 2.7
1, 3.75, 3.75, 3.6, 3.6, 3.4, 3.6, 3.5, 3.75
0, 3.2, 3.1, 3.25, 3.1, 2.8, 3.15, 3, 3.2
1, 8, 7, 7, 7, 7, 8, 7.5, 8
1, 6, 5.25, 5.5, 5.2, 5, 6.25, 5.5, 6.5
1, 8.5, 9, 9, 8, 8, 9, 9, 10
-1, 1.33, 1.37, 1.33, 1.35, 1.33, 1.35, 1.33, 1.33
1, 12, 11, 11, 10.5, 10, 11, 11, 12
1, 2.4, 2.4, 2.4, 2.4, 2.38, 2.5, 2.38, 2.5
-1, 1.73, 1.67, 1.72, 1.8, 1.67, 1.75, 1.73, 1.67
