SIGN, B365D, BWD, IWD, LBD, PSD, WHD, SJD, VCD
1, 4.2, 4.2, 4, 3.9, 4.5, 4.2, 4, 4.2
0, 3.2, 3.25, 3.2, 3, 3.39, 3.2, 3.3, 3.3
0, 3.1, 3.2, 3.1, 2.9, 3.16, 3, 3.13, 3.1
0, 4.2, 4.1, 4.2, 4, 4.47, 4, 4, 4.2
0, 3.2, 3.1, 3, 2.9, 3.22, 3, 3.13, 3.2
0, 5.5, 5.75, 5.2, 5.25, 5.89, 5.5, 5.5, 5.75
0, 5, 5, 4.2, 4.8, 5.15, 5, 5, 5.2
0, 3.4, 3.5, 3.2, 3.25, 3.62, 3.3, 3.4, 3.5
0, 4.75, 4.75, 4.2, 4.33, 5.18, 4.5, 4.5, 4.75
0, 3.1, 3, 3.1, 2.9, 3.19, 3, 3.13, 3.1
1, 4, 4.2, 3.9, 3.8, 4.09, 4, 4, 4.2
1, 3.2, 3.25, 3.2, 3, 3.41, 3.2, 3.25, 3.3
0, 3.25, 3.2, 3.1, 3, 3.32, 3.1, 3.2, 3.2
0, 3, 3, 3.1, 2.9, 3.11, 2.8, 3.13, 3
1, 3.2, 3, 3.1, 3, 3.15, 2.9, 3.13, 3.2
0, 3.75, 3.7, 3.4, 3.5, 3.96, 3.75, 3.6, 3.75
0, 4.5, 4.1, 4, 3.9, 4.54, 4, 4.33, 4.5
1, 3.1, 3, 3, 2.87, 3.07, 2.8, 3, 3.1
0, 3.5, 3.4, 3.2, 3.2, 3.62, 3.4, 3.3, 3.5
0, 6.5, 6, 5.2, 6, 7.44, 6, 6, 6.5
1, 3.75, 3.7, 3.5, 3.4, 3.96, 3.75, 3.6, 3.75
0, 3.2, 3.2, 3.1, 1, 3.29, 3, 3.13, 3.2
1, 3.1, 3.2, 3.2, 2.9, 3.29, 3, 3.2, 3.3
0, 3.5, 3.6, 3.4, 3.4, 3.8, 3.4, 3.5, 3.5
0, 3.1, 3.1, 3.1, 2.9, 2.96, 3, 3.13, 3.1
0, 3.4, 3.2, 3.2, 3.1, 3.38, 3.2, 3.3, 3.4
0, 3.25, 3.2, 3.2, 3, 3.31, 3.1, 3.25, 3.3
0, 3.1, 3.1, 3.1, 2.9, 3.1, 2.9, 3.13, 3.1
0, 3.3, 3.25, 3.1, 3.1, 3.39, 3.2, 3.2, 3.3
0, 3.75, 3.7, 3.8, 3.6, 4.09, 3.75, 3.75, 3.75
1, 3.2, 3.1, 3.1, 2.9, 3.19, 3.1, 3.13, 3.2
1, 3.4, 3.4, 3.3, 3.1, 3.5, 3.25, 3.3, 3.4
0, 3.5, 3.5, 3.3, 3.1, 3.51, 3.3, 3.3, 3.5
0, 6, 6, 6, 5.75, 6.79, 6, 6.25, 6.25
1, 3.4, 3.3, 3.2, 3.1, 3.53, 3.2, 3.4, 3.5
0, 3.2, 3.3, 3.2, 3, 3.32, 3.1, 3.25, 3.2
0, 7, 6, 6, 6.5, 7.93, 6, 6.5, 7.5
1, 3.4, 3.4, 3.2, 3.2, 3.31, 3.2, 3.3, 3.4
1, 3.1, 3, 3.1, 2.9, 3.16, 3, 3, 3.1
0, 4.2, 4, 4.1, 4, 4.55, 4.2, 4, 4.2
0, 3.5, 3.5, 3.4, 3.3, 3.74, 3.25, 3.4, 3.5
0, 3.1, 3.2, 3.1, 2.9, 3.31, 3.1, 3.13, 3.1
0, 3.6, 3.5, 3.4, 3.2, 3.58, 3.3, 3.4, 3.5
1, 3.1, 3.1, 3.1, 2.9, 3.26, 3, 3, 3.1
0, 3.75, 3.6, 3.7, 3.5, 3.97, 3.6, 3.6, 3.8
0, 3.5, 3.4, 3.2, 3.2, 3.63, 3.3, 3.3, 3.5
0, 3.1, 3.1, 3.1, 3, 3.18, 3, 3, 3.1
0, 3.6, 3.5, 3.2, 3.3, 3.77, 3.5, 3.4, 3.6
0, 3.5, 3.6, 3.5, 3.5, 3.83, 3.5, 3.5, 3.5
0, 3.1, 3.1, 3.1, 2.9, 3.18, 3, 3.13, 3.1
0, 3.4, 3.25, 3.2, 3.1, 3.39, 3.2, 3.25, 3.4
0, 5.5, 5, 4.8, 4.8, 5.48, 4.8, 5, 5.4
0, 3.2, 3.1, 3.1, 2.9, 3.29, 3.1, 3.13, 3.2
0, 5, 5.25, 4.8, 5, 5.8, 5, 4.8, 5.4
1, 3.3, 3.2, 3.2, 3, 3.3, 3.1, 3.2, 3.25
0, 3, 3.1, 3, 2.8, 3.11, 3, 3, 3
0, 3.2, 3.3, 2.9, 3.1, 3.36, 3.1, 3.25, 3.25
0, 3.6, 3.4, 3.6, 3.3, 3.58, 3.3, 3.5, 3.6
0, 5.5, 5.5, 5.2, 5, 5.95, 5, 5.25, 5.5
0, 4.5, 4.5, 4.4, 4.5, 5.21, 4.2, 4.33, 4.75
0, 3.5, 3.4, 3.3, 3.25, 3.49, 3.3, 3.4, 3.5
0, 3.5, 3.6, 3.5, 3.25, 3.74, 3.4, 3.5, 3.5
0, 3.2, 3.1, 3.1, 2.9, 3.18, 3, 3.13, 3.12
0, 3.6, 3.3, 3.5, 3.3, 3.88, 3.3, 3.4, 3.6
0, 9, 9, 7, 7.5, 8.8, 7, 8, 9
1, 3.4, 3.4, 3.3, 3.1, 3.47, 3.25, 3.3, 3.4
0, 3.3, 3.25, 3.2, 2.9, 3.24, 3.1, 3.25, 3.3
0, 3.25, 3.25, 3.1, 3, 3.27, 3.2, 3.25, 3.3
0, 5, 5.25, 5.2, 5, 5.89, 5, 5, 5.4
1, 3.5, 3.3, 3.1, 3.1, 3.36, 3.2, 3.25, 3.4
1, 3.4, 3.5, 3.3, 3.2, 3.64, 3.4, 3.4, 3.4
1, 3, 3.2, 3.1, 2.9, 3.18, 3, 3.13, 3.12
0, 3.1, 2.95, 1, 2.9, 3.01, 3, 3, 3.1
1, 6, 5.5, 5.2, 5.5, 6.42, 6, 6.25, 6.5
1, 3.25, 3.3, 1, 3, 3.32, 3.1, 3.25, 3.3
