SIGN, B365A, BWA, IWA, LBA, PSA, WHA, SJA, VCA
1, 2.7, 2.7, 2.7, 2.7, 2.73, 2.6, 2.63, 2.7
1, 17, 12, 11, 13, 14.49, 13, 11, 15
1, 10, 10, 7.5, 12, 11.3, 11, 10, 11.5
1, 3.75, 3.9, 3.6, 3.6, 4.17, 3.5, 3.75, 3.9
-1, 1.33, 1.33, 1.33, 1.35, 1.34, 1.33, 1.33, 1.36
1, 3.1, 3, 3, 2.9, 3.05, 3.2, 2.88, 3
0, 1.5, 1.5, 1.45, 1.45, 1.52, 1.44, 1.5, 1.55
0, 3.6, 3.7, 3.6, 3.6, 3.73, 3.6, 3.4, 3.6
1, 2.8, 2.8, 2.7, 2.75, 2.91, 2.8, 2.8, 2.9
-1, 3, 3, 2.8, 3.1, 3.28, 3.2, 3, 3.25
0, 4.2, 4, 3.4, 4.25, 4.65, 4, 4, 4.4
1, 5.5, 5.25, 4.3, 5.2, 5.9, 5, 5.5, 5.4
1, 8, 7.5, 6.5, 6.5, 8.54, 7, 7, 7.5
0, 2.7, 2.75, 2.6, 2.7, 2.81, 2.75, 2.63, 2.8
-1, 4.75, 4.6, 4, 4.8, 5.27, 4.6, 5, 5
1, 15, 12.5, 11, 18, 18.63, 15, 15, 18
0, 1.57, 1.62, 1.65, 1.61, 1.63, 1.6, 1.57, 1.62
1, 3, 2.95, 2.8, 1, 3.03, 2.88, 2.88, 3.1
0, 2.1, 2, 2, 2, 2.15, 2.2, 2.1, 2.15
1, 5, 5, 4.3, 4.8, 5.2, 4.6, 4.8, 5.2
-1, 2.25, 2.25, 2.3, 2.3, 2.44, 2.25, 2.25, 2.38
-1, 3.9, 4, 3.8, 3.9, 4.31, 3.8, 3.8, 4.1
1, 4.1, 4, 3.3, 4, 4.4, 4, 4, 4.2
-1, 2.9, 2.95, 2.8, 2.9, 3.1, 3, 2.88, 3.1
1, 2.3, 2.2, 2.3, 2.15, 2.37, 2.25, 2.25, 2.3
-1, 1.6, 1.55, 1.5, 1.55, 1.57, 1.6, 1.57, 1.62
0, 2.4, 2.45, 2.4, 2.45, 2.48, 2.3, 2.38, 2.45
0, 4.75, 4.6, 4.2, 4.8, 5.2, 4.4, 4.8, 5
-1, 1.83, 1.83, 1.75, 1.8, 1.88, 1.8, 1.8, 1.87
1, 15, 15, 13, 15, 18.74, 15, 12, 17
0, 1.75, 1.8, 1.9, 1.75, 1.81, 1.8, 1.8, 1.75
1, 3.6, 3.6, 3.3, 3.4, 3.7, 3.75, 3.5, 3.6
1, 15, 15.5, 13, 21, 22.56, 13, 15, 18
0, 1.91, 1.8, 1.9, 1.85, 1.98, 1.85, 1.9, 1.95
0, 2.8, 2.85, 2.7, 2.85, 2.97, 2.88, 2.75, 3
1, 7.5, 8.5, 7, 8, 8.7, 7.5, 7, 9
1, 7, 6, 5.3, 6.5, 7.12, 5.5, 6.25, 7
1, 3.6, 3.2, 3, 3.1, 3.36, 3.3, 3.25, 3.4
-1, 4.75, 4.75, 4.3, 5, 5.35, 4.8, 5, 5.4
0, 2.5, 2.5, 2.5, 2.4, 2.53, 2.6, 2.5, 2.6
1, 1.62, 1.65, 1.55, 1.57, 1.63, 1.55, 1.62, 1.62
-1, 1.85, 1.83, 1.85, 1.8, 1.86, 1.91, 1.83, 1.87
-1, 2.6, 2.6, 2.4, 2.55, 2.65, 2.5, 2.6, 2.7
-1, 1.67, 1.7, 1.8, 1.66, 1.72, 1.65, 1.67, 1.73
-1, 1.67, 1.72, 1.65, 1.66, 1.74, 1.75, 1.67, 1.75
-1, 3.1, 3.1, 3, 2.9, 3.31, 3.1, 3, 3.2
1, 4, 3.9, 3.6, 4, 4.29, 3.8, 4, 4.2
1, 12, 10.5, 9.5, 12, 13.83, 12, 10, 13
1, 2.38, 2.45, 2.4, 2.35, 2.49, 2.38, 2.4, 2.45
1, 15, 11, 9.5, 13, 15.86, 11, 12, 15
0, 3.5, 3.3, 3.3, 3.3, 3.55, 3.6, 3.3, 3.5
1, 2.75, 2.5, 2.6, 2.6, 2.86, 2.5, 2.75, 2.88
1, 3.4, 3.4, 3.2, 3.3, 3.53, 3.3, 3.25, 3.5
-1, 5.5, 5.5, 4.8, 6, 6.18, 5.5, 5.5, 6
1, 15, 12.5, 11, 13, 14.5, 11, 12, 15
-1, 1.3, 1.3, 1.3, 1.3, 1.32, 1.35, 1.33, 1.33
-1, 1.8, 1.8, 1.75, 1.8, 1.92, 1.8, 1.8, 1.85
1, 4.75, 5, 4.5, 4.8, 5.14, 4.6, 4.8, 5.2
-1, 3.2, 3.3, 3, 3.3, 3.47, 3.1, 3.13, 3.4
-1, 1.62, 1.62, 1.6, 1.62, 1.63, 1.7, 1.62, 1.67
1, 21, 15, 15, 21, 22, 17, 17, 23
0, 1.8, 1.8, 1.75, 1.85, 1.87, 1.83, 1.83, 1.87
1, 3.8, 3.9, 3.6, 3.7, 4.16, 3.8, 3.6, 3.75
-1, 3.1, 3, 3, 2.9, 3.28, 2.8, 3, 3.2
1, 15, 10.5, 11, 13, 15.84, 11, 12, 15
0, 2.1, 2.25, 2.2, 2.1, 2.18, 2.15, 2.1, 2.2
0, 2, 1.83, 1.9, 1.95, 1.99, 1.95, 1.95, 2
0, 3.4, 3.3, 3, 3.3, 3.52, 3.2, 3.13, 3.5
1, 3.4, 3.25, 1, 3.1, 3.51, 3.2, 3.13, 3.4
0, 11, 12.5, 11, 12, 13.13, 11, 9, 12
0, 3.5, 3.5, 1, 3.5, 3.77, 3.4, 3.4, 3.7
1, 1.62, 1.55, 1.55, 1.61, 1.6, 1.62, 1.57, 1.65
0, 2.15, 2.15, 1, 2.1, 2.22, 2.25, 2.2, 2.25
0, 4, 4.33, 4, 4.1, 4.32, 4, 4, 4.2
1, 6, 5.5, 5.5, 5.75, 6.93, 6, 6.25, 6.5
1, 2.5, 2.4, 2.5, 2.35, 2.46, 2.45, 2.4, 2.5
-1, 6, 5.5, 4.8, 5.75, 6.31, 5.5, 5.75, 6.5
1, 4.5, 5, 4.3, 4.6, 4.8, 4.6, 4.5, 5.2
1, 2.6, 2.6, 2.55, 2.6, 2.62, 2.5, 2.6, 2.7
1, 2.5, 2.3, 2.4, 2.4, 2.53, 2.45, 2.4, 2.55
1, 3.8, 4.2, 3.7, 3.75, 4.19, 3.6, 3.8, 4
-1, 6.5, 6.75, 5.5, 5.75, 6.47, 5.5, 6, 6.5
