SIGN, B365H, BWH, IWH, LBH, PSH, WHH, SJH, VCH
1, 2, 1.95, 1.9, 2.05, 2.08, 2, 2.05, 2.15
0, 2.3, 2.3, 2.2, 2.35, 2.38, 2.38, 2.3, 2.38
1, 1.25, 1.26, 1.2, 1.22, 1.26, 1.25, 1.25, 1.29
0, 3.3, 3, 3, 3.3, 3.67, 3.2, 3.25, 3.4
0, 3.75, 4, 3.5, 3.6, 3.96, 3.5, 3.75, 3.9
0, 2.3, 2.15, 2.2, 2.2, 2.32, 2.25, 2.25, 2.3
1, 2.25, 2.3, 1, 2.25, 2.42, 2.25, 2.3, 2.38
0, 1.22, 1.22, 1.2, 1.22, 1.25, 1.2, 1.22, 1.25
0, 2.1, 2.05, 1, 2.05, 2.15, 2.1, 2.1, 2.15
1, 5.5, 5.5, 5, 5, 5.91, 4.8, 5.25, 5.5
0, 3.5, 3.1, 1, 3.4, 3.65, 3.2, 3.3, 3.5
0, 1.91, 1.78, 1.8, 1.8, 1.9, 1.83, 1.83, 1.95
1, 1.57, 1.6, 1.5, 1.6, 1.57, 1.55, 1.57, 1.6
1, 2.8, 2.85, 2.7, 2.8, 3.04, 2.8, 2.88, 2.9
0, 1.62, 1.6, 1.6, 1.61, 1.62, 1.6, 1.62, 1.65
1, 1.73, 1.62, 1.7, 1.66, 1.76, 1.7, 1.73, 1.73
1, 2.7, 2.45, 2.55, 2.55, 2.78, 2.62, 2.6, 2.75
1, 2.8, 3, 2.7, 2.87, 2.96, 2.7, 2.8, 2.9
1, 2, 1.9, 1.85, 2, 1.98, 2, 1.95, 2
0, 1.53, 1.48, 1.5, 1.55, 1.58, 1.55, 1.53, 1.6
