SIGN, B365H, B365D, B365A, BWH, BWD, BWA, IWH, IWD, IWA, LBH, LBD, LBA, PSH, PSD, PSA, WHH, WHD, WHA, SJH, SJD, SJA, VCH, VCD, VCA
1.00, 2.20, 3.40, 3.20, 2.15, 3.00, 3.50, 2.10, 3.10, 3.20, 2.10, 3.10, 3.30, 2.26, 3.28, 3.53, 2.25, 3.10, 3.10, 2.20, 3.25, 3.20, 2.25, 3.30, 3.40
-1.00, 1.40, 4.33, 8.50, 1.42, 4.10, 7.75, 1.42, 4.00, 6.50, 1.36, 4.20, 8.00, 1.42, 4.72, 9.30, 1.40, 4.20, 7.50, 1.40, 4.33, 7.50, 1.40, 4.50, 9.00
1.00, 2.60, 3.10, 2.80, 2.55, 2.90, 2.90, 2.40, 3.10, 2.70, 2.55, 2.90, 2.70, 2.68, 3.14, 2.95, 2.45, 2.90, 3.00, 2.50, 3.13, 2.80, 2.70, 3.12, 2.88
-1.00, 1.83, 3.40, 4.50, 1.75, 3.20, 4.40, 1.70, 3.40, 4.30, 1.75, 3.30, 4.33, 1.85, 3.51, 4.85, 1.75, 3.30, 4.60, 1.83, 3.25, 4.50, 1.83, 3.50, 4.80
0.00, 2.50, 3.20, 2.80, 2.40, 3.10, 2.90, 2.20, 3.10, 3.00, 2.45, 3.10, 2.70, 2.65, 3.34, 2.84, 2.45, 3.20, 2.70, 2.50, 3.13, 2.75, 2.60, 3.30, 2.88
1.00, 1.29, 5.00, 12.00, 1.25, 5.50, 10.00, 1.25, 4.80, 9.50, 1.28, 5.00, 9.50, 1.32, 5.57, 10.50, 1.25, 5.50, 9.50, 1.29, 5.00, 9.00, 1.30, 5.50, 11.00
-1.00, 2.75, 3.20, 2.60, 2.75, 3.10, 2.55, 2.55, 3.00, 2.45, 2.75, 3.00, 2.45, 2.76, 3.34, 2.71, 2.70, 3.20, 2.45, 2.63, 3.20, 2.60, 2.75, 3.30, 2.62
1.00, 1.57, 3.75, 6.00, 1.62, 4.00, 4.75, 1.55, 3.70, 5.00, 1.60, 3.75, 5.00, 1.62, 4.13, 5.91, 1.62, 3.80, 4.80, 1.57, 3.80, 5.50, 1.60, 4.10, 5.75
-1.00, 2.25, 3.20, 3.30, 2.20, 3.20, 3.20, 2.00, 3.20, 3.30, 2.15, 3.00, 3.30, 2.38, 3.25, 3.31, 2.25, 3.10, 3.10, 2.25, 3.13, 3.20, 2.25, 3.20, 3.12
-1.00, 8.00, 4.50, 1.40, 8.00, 4.50, 1.36, 7.50, 4.10, 1.37, 8.00, 4.00, 1.40, 8.80, 4.55, 1.45, 7.50, 4.20, 1.40, 7.50, 4.33, 1.40, 9.00, 4.50, 1.40
0.00, 11.00, 4.50, 1.33, 8.00, 5.00, 1.33, 8.00, 4.20, 1.33, 10.00, 4.75, 1.30, 11.69, 5.14, 1.33, 10.00, 4.75, 1.29, 8.50, 4.80, 1.33, 11.00, 5.00, 1.33
1.00, 1.36, 4.50, 9.50, 1.40, 4.50, 7.00, 1.35, 4.20, 7.50, 1.40, 4.20, 7.50, 1.38, 4.93, 9.89, 1.44, 4.00, 7.00, 1.36, 4.50, 7.50, 1.40, 4.80, 9.00
0.00, 2.80, 3.20, 2.50, 2.70, 3.20, 2.50, 2.60, 3.10, 2.50, 2.75, 3.00, 2.45, 3.04, 3.21, 2.57, 2.80, 3.00, 2.50, 2.88, 3.00, 2.50, 3.00, 3.20, 2.55
-1.00, 1.62, 3.75, 5.50, 1.57, 4.00, 5.25, 1.60, 3.60, 4.80, 1.60, 3.75, 5.00, 1.62, 4.12, 5.91, 1.60, 3.75, 5.00, 1.62, 3.75, 5.00, 1.60, 4.10, 5.75
1.00, 2.80, 3.10, 2.60, 2.70, 3.10, 2.60, 2.60, 3.10, 2.50, 2.75, 3.00, 2.50, 2.89, 3.26, 2.65, 2.60, 3.00, 2.70, 2.80, 3.13, 2.50, 2.88, 3.25, 2.60
0.00, 1.62, 3.60, 6.00, 1.65, 3.60, 5.00, 1.65, 3.50, 4.50, 1.57, 3.60, 5.50, 1.58, 4.04, 6.71, 1.65, 3.50, 5.00, 1.62, 3.50, 5.80, 1.60, 4.00, 6.00
-1.00, 1.60, 3.60, 6.00, 1.70, 3.40, 5.00, 1.65, 3.50, 4.50, 1.65, 3.40, 5.25, 1.66, 3.81, 6.09, 1.73, 3.30, 4.80, 1.67, 3.40, 5.50, 1.67, 3.75, 5.75
1.00, 1.57, 3.80, 6.00, 1.50, 4.20, 5.75, 1.50, 3.80, 5.50, 1.57, 3.80, 5.20, 1.60, 4.11, 6.24, 1.50, 4.20, 5.50, 1.57, 3.80, 5.50, 1.57, 4.10, 5.75
0.00, 1.25, 6.00, 10.00, 1.22, 6.00, 11.00, 1.20, 5.20, 11.00, 1.22, 5.50, 12.00, 1.23, 6.74, 14.45, 1.22, 6.00, 9.50, 1.25, 5.50, 10.00, 1.22, 6.50, 15.00
-1.00, 4.20, 3.60, 1.83, 4.40, 3.60, 1.75, 4.00, 3.20, 1.80, 4.33, 3.30, 1.75, 4.99, 3.47, 1.85, 4.00, 3.30, 1.85, 4.33, 3.40, 1.80, 4.60, 3.60, 1.83
1.00, 2.15, 3.25, 3.40, 2.20, 3.10, 3.25, 2.30, 3.10, 2.80, 2.10, 2.90, 3.50, 2.21, 3.23, 3.74, 2.25, 3.20, 3.00, 2.10, 3.20, 3.40, 2.15, 3.25, 3.70
1.00, 2.05, 3.30, 3.60, 2.05, 3.30, 3.40, 2.20, 3.10, 3.00, 2.05, 3.10, 3.40, 2.14, 3.39, 3.74, 2.00, 3.20, 3.60, 2.05, 3.25, 3.50, 2.15, 3.30, 3.70
-1.00, 2.60, 3.25, 2.70, 2.60, 3.10, 2.70, 2.50, 3.10, 2.60, 2.50, 3.10, 2.65, 2.75, 3.11, 2.90, 2.60, 3.10, 2.60, 2.60, 3.13, 2.63, 2.70, 3.25, 2.75
1.00, 2.38, 3.20, 3.00, 2.30, 3.25, 2.95, 2.10, 3.10, 3.20, 2.25, 3.00, 3.00, 2.41, 3.29, 3.22, 2.38, 3.10, 2.88, 2.38, 3.13, 3.00, 2.40, 3.25, 3.20
